			
ROI	Mean	STD	Sum	Min	Max	Pixel count	
ROI 3	1606.083	165.213	19273.000	1461.000	2085.000	12	
ROI 3	1604.417	182.878	19253.000	1430.000	2129.000	12	
ROI 3	1611.583	174.379	19339.000	1422.000	2087.000	12	
ROI 3	1635.250	180.593	19623.000	1483.000	2144.000	12	
ROI 3	1628.000	181.500	19536.000	1484.000	2161.000	12	
ROI 3	1633.000	164.587	19596.000	1489.000	2106.000	12	
ROI 3	1654.667	180.727	19856.000	1499.000	2188.000	12	
ROI 3	1636.250	177.120	19635.000	1485.000	2149.000	12	
ROI 3	1644.917	176.122	19739.000	1510.000	2162.000	12	
ROI 3	1646.583	188.419	19759.000	1519.000	2208.000	12	
ROI 3	1657.750	183.716	19893.000	1521.000	2200.000	12	
ROI 3	1657.917	178.309	19895.000	1534.000	2190.000	12	
ROI 3	1674.167	183.580	20090.000	1507.000	2215.000	12	
ROI 3	1675.917	190.090	20111.000	1541.000	2230.000	12	
ROI 3	1681.750	211.610	20181.000	1473.000	2270.000	12	
ROI 3	1683.500	183.873	20202.000	1522.000	2216.000	12	
ROI 3	1679.500	189.000	20154.000	1542.000	2221.000	12	
ROI 3	1699.333	189.106	20392.000	1540.000	2240.000	12	
ROI 3	1695.833	183.118	20350.000	1529.000	2235.000	12	
ROI 3	1711.000	189.073	20532.000	1548.000	2245.000	12	
ROI 3	1713.917	179.490	20567.000	1591.000	2241.000	12	
ROI 3	1722.417	184.873	20669.000	1572.000	2267.000	12	
ROI 3	1737.750	183.586	20853.000	1580.000	2276.000	12	
ROI 3	1739.583	184.361	20875.000	1597.000	2273.000	12	
ROI 3	1733.083	192.596	20797.000	1557.000	2272.000	12	
ROI 3	1746.417	196.149	20957.000	1604.000	2327.000	12	
ROI 3	1743.167	181.210	20918.000	1580.000	2274.000	12	
ROI 3	1747.417	183.548	20969.000	1608.000	2274.000	12	
ROI 3	1772.250	200.513	21267.000	1600.000	2363.000	12	
ROI 3	1790.333	182.581	21484.000	1631.000	2319.000	12	
ROI 3	1784.583	193.462	21415.000	1606.000	2327.000	12	
ROI 3	1818.250	195.042	21819.000	1629.000	2388.000	12	
ROI 3	1809.917	193.177	21719.000	1686.000	2378.000	12	
ROI 3	1831.333	216.290	21976.000	1649.000	2434.000	12	
ROI 3	1840.333	205.211	22084.000	1615.000	2442.000	12	
ROI 3	1859.167	205.681	22310.000	1676.000	2455.000	12	
ROI 3	1864.750	220.634	22377.000	1666.000	2487.000	12	
ROI 3	1865.583	196.164	22387.000	1692.000	2435.000	12	
ROI 3	1881.583	217.998	22579.000	1723.000	2532.000	12	
ROI 3	1895.083	203.412	22741.000	1714.000	2474.000	12	
ROI 3	1906.333	214.277	22876.000	1700.000	2530.000	12	
ROI 3	1912.083	208.862	22945.000	1768.000	2519.000	12	
ROI 3	1932.583	213.463	23191.000	1735.000	2554.000	12	
ROI 3	1941.083	221.679	23293.000	1741.000	2580.000	12	
ROI 3	1971.750	214.087	23661.000	1781.000	2586.000	12	
ROI 3	1981.000	223.404	23772.000	1807.000	2643.000	12	
ROI 3	2015.500	222.640	24186.000	1811.000	2656.000	12	
ROI 3	2034.167	214.582	24410.000	1855.000	2663.000	12	
